id_transaksi,tanggal,suplier,nota,kode_stok,nama_stok,quantity,satuan,unit,satuan.2,harga_satuan,jumlah
TB0026767,2024-01-01,S148 - NURHIDAYAT,non pkp,B00303,TMP BODREX,100,DOS,0,PAK,"89,000","8,900,000"
TB0026767,2024-01-01,S148 - NURHIDAYAT,non pkp,B00241,TMP BODREXIN,50,DOS,0,PAK,"39,000","1,950,000"
TB0026767,2024-01-01,S148 - NURHIDAYAT,non pkp,B00225,SALEP 88,50,DOS,0,DOS,"95,000","4,750,000"
TB0026768,2024-01-02,S324 - BSU (BINTANG SAYAP UTAMA),tunai,B01987,,40,,0,,"67,000","2,680,000"
TB0026768,2024-01-02,S324 - BSU (BINTANG SAYAP UTAMA),tunai,B02005,ANDALAN FILTER 12 (GAJAH),5,SLOP,0,SLOP,"137,500","687,500"
TB0026769,2024-01-02,S042 - PT.DINAMIKA DAYA SEGARA,pkp HF61293987,B01055,DDS SOKLIN CAIR 40 RENTENG,3,KARTON,0,KARTON,"93,258","279,774"
TB0026769,2024-01-02,S042 - PT.DINAMIKA DAYA SEGARA,pkp HF61293987,B00552,DDS SOKLIN SMART,6,KARTON,0,KARTON,"127,710","766,260"
TB0026769,2024-01-02,S042 - PT.DINAMIKA DAYA SEGARA,pkp HF61293987,B01567,DDS SOKLIN 425(10rb),10,KARTON,0,KARTON,"98,010","980,100"
TB0026769,2024-01-02,S042 - PT.DINAMIKA DAYA SEGARA,pkp HF61293987,B00546,DDS SOKLIN PK,20,KARTON,0,KARTON,"55,955","1,119,100"
TB0026769,2024-01-02,S042 - PT.DINAMIKA DAYA SEGARA,pkp HF61293987,B00997,DDS SOKLIN 770,5,KARTON,0,KARTON,"229,878","1,149,390"
TB0026769,2024-01-02,S042 - PT.DINAMIKA DAYA SEGARA,pkp HF61293987,B00624,DDS SOKLIN PEWANGI REFF 320,5,KARTON,0,BIJI,"95,040","475,200"
TB0026769,2024-01-02,S042 - PT.DINAMIKA DAYA SEGARA,pkp HF61293987,B00701,DDS MAMA LEMON 105(2rb),18,KARTON,0,KARTON,"30,987","557,766"
TB0026769,2024-01-02,S042 - PT.DINAMIKA DAYA SEGARA,pkp HF61293987,B00702,DDS MAMA LEMON 680,3,KARTON,0,BIJI,"106,029","318,087"
TB0026769,2024-01-02,S042 - PT.DINAMIKA DAYA SEGARA,pkp HF61293987,B00690,DDS SOKLIN LANTAI RENTENG,4,KARTON,0,PRES,"94,432","377,728"
TB0026769,2024-01-02,S042 - PT.DINAMIKA DAYA SEGARA,pkp HF61293987,B00976,DDS SOKLIN LANTAI REFF 52,3,KARTON,0,KARTON,"34,975","104,925"
TB0026769,2024-01-02,S042 - PT.DINAMIKA DAYA SEGARA,pkp HF61293987,B00534,DDS WPC 780,3,KARTON,0,KARTON,"74,250","222,750"
